"date","group","bat_flying","bat_roosting","dyad","flight_time","n_inquiry","n_response","sri","kinship","flying.sex","roosting.sex","dyad.sex","udyad.sex","year"
"2021-06-28","2021_6","bat982126057845067","bat900200000279470","bat900200000279470_bat982126057845067",300,8,236,0.5625,0,"female","male","female-->male","mixed-sex","2021"
"2021-06-28","2021_6","bat982126057845225","bat900200000279470","bat900200000279470_bat982126057845225",300,9,159,0.586206896551724,0,"male","male","male-->male","male-male","2021"
"2021-06-24","2021_3","bat982126058484312","bat900200000279490","bat900200000279490_bat982126058484312",300,106,0,1,0.5,"male","female","male-->female","mixed-sex","2021"
"2021-07-02","2021_3","bat982126058484312","bat900200000279490","bat900200000279490_bat982126058484312",300,72,0,1,0.5,"male","female","male-->female","mixed-sex","2021"
"2021-06-23","2021_3","bat982126058484334","bat900200000279490","bat900200000279490_bat982126058484334",300,157,211,0.870967741935484,0.5,"male","female","male-->female","mixed-sex","2021"
"2021-06-23","2021_3","bat982126058484346","bat900200000279490","bat900200000279490_bat982126058484346",300,107,192,0.757575757575758,0.5,"female","female","female-->female","female-female","2021"
"2021-06-24","2021_3","bat982126058484346","bat900200000279490","bat900200000279490_bat982126058484346",300,53,5,0.757575757575758,0.5,"female","female","female-->female","female-female","2021"
"2021-06-22","2021_6","bat900200000279470","bat900200000279506","bat900200000279470_bat900200000279506",300,41,205,0.857142857142857,0,"male","female","male-->female","mixed-sex","2021"
"2021-06-30","2021_6","bat900200000279470","bat900200000279506","bat900200000279470_bat900200000279506",300,25,37,0.857142857142857,0,"male","female","male-->female","mixed-sex","2021"
"2021-06-22","2021_6","bat900200000279517","bat900200000279506","bat900200000279506_bat900200000279517",300,80,94,0.606060606060606,0,"male","female","male-->female","mixed-sex","2021"
"2021-06-28","2021_6","bat900200000279517","bat900200000279506","bat900200000279506_bat900200000279517",300,22,9,0.606060606060606,0,"male","female","male-->female","mixed-sex","2021"
"2021-06-28","2021_6","bat982126051278470","bat900200000279506","bat900200000279506_bat982126051278470",300,51,0,0.6,0,"male","female","male-->female","mixed-sex","2021"
"2021-07-03","2021_6","bat982126057845225","bat900200000279506","bat900200000279506_bat982126057845225",300,30,153,0.516129032258065,0,"male","female","male-->female","mixed-sex","2021"
"2021-07-03","2021_6","bat982126057845225","bat900200000279506","bat900200000279506_bat982126057845225",300,23,73,0.516129032258065,0,"male","female","male-->female","mixed-sex","2021"
"2021-07-03","2021_6","bat900200000279470","bat900200000279517","bat900200000279470_bat900200000279517",99,13,0,0.575757575757576,0,"male","male","male-->male","male-male","2021"
"2021-06-22","2021_6","bat900200000279506","bat900200000279517","bat900200000279506_bat900200000279517",230,3,0,0.606060606060606,0,"female","male","female-->male","mixed-sex","2021"
"2021-06-22","2021_6","bat982126051278470","bat900200000279517","bat900200000279517_bat982126051278470",300,118,0,0.848484848484849,0,"male","male","male-->male","male-male","2021"
"2021-06-26","2021_6","bat982126057845225","bat900200000279517","bat900200000279517_bat982126057845225",300,18,0,0.818181818181818,0,"male","male","male-->male","male-male","2021"
"2021-06-24","2021_1","bat982126058484291","bat900200000279533","bat900200000279533_bat982126058484291",300,40,49,0.5,0,"female","male","female-->male","mixed-sex","2021"
"2021-07-01","2021_1","bat982126058484331","bat900200000279533","bat900200000279533_bat982126058484331",300,87,61,0.973684210526316,0,"female","male","female-->male","mixed-sex","2021"
"2021-06-28","2021_1","bat982126058484337","bat900200000279533","bat900200000279533_bat982126058484337",280,78,0,0.605263157894737,0,"female","male","female-->male","mixed-sex","2021"
"2021-06-28","2021_1","bat982126058484337","bat900200000279533","bat900200000279533_bat982126058484337",300,10,0,0.605263157894737,0,"female","male","female-->male","mixed-sex","2021"
"2021-06-21","2021_8","bat982126051278475","bat900200000279820","bat900200000279820_bat982126051278475",300,74,0,0.974358974358974,0,"female","male","female-->male","mixed-sex","2021"
"2021-07-01","2021_8","bat982126051278475","bat900200000279820","bat900200000279820_bat982126051278475",300,72,1,0.974358974358974,0,"female","male","female-->male","mixed-sex","2021"
"2021-06-30","2021_7","bat982126051278504","bat982000359237615","bat982000359237615_bat982126051278504",300,162,525,0.619047619047619,0,"female","male","female-->male","mixed-sex","2021"
"2021-06-30","2021_7","bat982126051278564","bat982000359237615","bat982000359237615_bat982126051278564",300,71,174,0.619047619047619,0.5,"female","male","female-->male","mixed-sex","2021"
"2021-07-02","2021_7","bat982126051278564","bat982000359237615","bat982000359237615_bat982126051278564",300,78,47,0.619047619047619,0.5,"female","male","female-->male","mixed-sex","2021"
"2021-06-26","2021_7","bat982126052945896","bat982000359237615","bat982000359237615_bat982126052945896",300,101,0,0.962962962962963,0,"male","male","male-->male","male-male","2021"
"2021-06-23","2021_7","bat982126058484305","bat982000359237615","bat982000359237615_bat982126058484305",300,104,0,0.658536585365854,0.25,"male","male","male-->male","male-male","2021"
"2021-06-26","2021_7","bat982126058484305","bat982000359237615","bat982000359237615_bat982126058484305",289,95,0,0.658536585365854,0.25,"male","male","male-->male","male-male","2021"
"2021-07-02","2021_7","bat982126058484305","bat982000359237615","bat982000359237615_bat982126058484305",278,113,39,0.658536585365854,0.25,"male","male","male-->male","male-male","2021"
"2021-07-04","2021_7","bat982126058484305","bat982000359237615","bat982000359237615_bat982126058484305",300,125,270,0.658536585365854,0.25,"male","male","male-->male","male-male","2021"
"2021-06-28","2021_6","bat900200000279470","bat982126051278470","bat900200000279470_bat982126051278470",300,53,0,0.566666666666667,0,"male","male","male-->male","male-male","2021"
"2021-07-03","2021_6","bat900200000279506","bat982126051278470","bat900200000279506_bat982126051278470",300,42,83,0.6,0,"female","male","female-->male","mixed-sex","2021"
"2021-06-22","2021_6","bat900200000279517","bat982126051278470","bat900200000279517_bat982126051278470",260,63,0,0.848484848484849,0,"male","male","male-->male","male-male","2021"
"2021-06-30","2021_6","bat982126057845067","bat982126051278470","bat982126051278470_bat982126057845067",208,20,151,0.84375,0,"female","male","female-->male","mixed-sex","2021"
"2021-06-22","2021_6","bat982126057845225","bat982126051278470","bat982126051278470_bat982126057845225",300,14,4,0.833333333333333,0,"male","male","male-->male","male-male","2021"
"2021-06-21","2021_8","bat900200000279820","bat982126051278475","bat900200000279820_bat982126051278475",300,79,5,0.974358974358974,0,"male","female","male-->female","mixed-sex","2021"
"2021-07-01","2021_8","bat900200000279820","bat982126051278475","bat900200000279820_bat982126051278475",300,85,283,0.974358974358974,0,"male","female","male-->female","mixed-sex","2021"
"2021-06-22","2021_4","bat900200000279422","bat982126051278491","bat900200000279422_bat982126051278491",300,25,8,0.954545454545455,0.5,"female","female","female-->female","female-female","2021"
"2021-06-29","2021_4","bat900200000279422","bat982126051278491","bat900200000279422_bat982126051278491",300,56,0,0.954545454545455,0.5,"female","female","female-->female","female-female","2021"
"2021-06-23","2021_7","bat982000359237615","bat982126051278504","bat982000359237615_bat982126051278504",300,110,408,0.619047619047619,0,"male","female","male-->female","mixed-sex","2021"
